state,value
California,1628
Texas,893
Florida,845
Illinois,629
New York,628
Ohio,433
Pennsylvania,420
Washington,390
Michigan,381
Georgia,365
Indiana,341
Missouri,311
Louisiana,300
North Carolina,266
Virginia,238
New Jersey,207
Massachusetts,195
Oklahoma,195
Maryland,185
Tennessee,179
Oregon,170
Alabama,164
South Carolina,162
Arizona,156
Colorado,155
Kansas,153
Kentucky,134
Connecticut,122
Wisconsin,118
Nevada,105
Arkansas,103
Utah,77
Nebraska,76
Mississippi,75
Minnesota,68
New Mexico,64
Iowa,53
Montana,41
Idaho,37
West Virginia,37
Maine,30
Wyoming,27
Rhode Island,25
Delaware,14
North Dakota,11
Vermont,11
New Hampshire,10
South Dakota,7